song_id,title,gold_relationship,gold_stance,b_p_relationship,b_pred_relationship,b_p_independence,a_relationship_margin,a_pred_relationship,a_stance
sac67cfc406e73fa9,Chantilly Lace,1,casual_physical,0.8910075426101685,1,0.08188609778881073,-0.021729007363319397,0,devotion_commitment
s5ba9b4e2f3706c2c,Come Into My Heart,1,devotion_commitment,0.9952170252799988,1,0.0017752604326233268,0.08895458281040192,1,devotion_commitment
s4a57ba2bac02c0d8,Along Came Jones,0,,0.0005378763889893889,0,0.04958902299404144,0.0198400616645813,1,casual_physical
s64d0e98bfb0519db,City Lights,1,heartbreak_loss,0.7951018214225769,1,0.0006602275534532964,0.05282972753047943,1,devotion_commitment
s4805c9d6ecfc8fb8,Bad Boy,1,devotion_commitment,0.9896718859672546,1,0.001314724562689662,0.09411351382732391,1,conflict_resentment
s23a7ef1292fc63ef,Baby's First Christmas,0,,0.0003654328756965697,0,0.09730459004640579,0.05327754467725754,1,devotion_commitment
sdb1da756e08185b0,Chills And Fever,1,casual_physical,0.9974982738494873,1,0.0019800399895757437,0.08921030163764954,1,devotion_commitment
sf1f86ef33460d65c,California Girl,1,casual_physical,0.5788053274154663,1,0.25771838426589966,-0.009313322603702545,0,longing_pursuit
sda9507db3abfe8bc,Bennie And The Jets,0,,0.014090735465288162,0,0.11869120597839355,-0.012008219957351685,0,casual_physical
sd39f1753732c4a5f,Crackerbox Palace,0,,0.00638832151889801,0,0.02015802077949047,0.06121842563152313,1,devotion_commitment
s548cccf9c6272e8a,Dancin' Fool,0,,0.00033930179779417813,0,0.1155109703540802,0.007905140519142151,1,conflict_resentment
s6295a67905f49e37,Animal Zoo,0,,0.0015669888816773891,0,0.047824516892433167,0.0004187077283859253,1,conflict_resentment
sbe032ad95ca7a17b,Affair Of The Heart,1,devotion_commitment,0.9997063279151917,1,0.002153141424059868,0.13051238656044006,1,devotion_commitment
s12a80e399d7f7ead,Breakdance,0,,0.036356665194034576,0,0.04248320683836937,-0.015188217163085938,0,heartbreak_loss
s0dbb2d54ea8767f0,Be Mine Tonight,1,heartbreak_loss,0.9946045875549316,1,0.06590478867292404,0.07724279165267944,1,longing_pursuit
sc821671701178111,Breathe,1,devotion_commitment,0.9971716403961182,1,0.003191267838701606,0.11331231892108917,1,heartbreak_loss
sfe21b576a9977e28,Broken Arrow,1,devotion_commitment,0.9919692277908325,1,0.003324436955153942,0.006333291530609131,1,heartbreak_loss
sacbf9309db408829,Boom! Shake The Room,0,,0.558780312538147,1,0.08254930377006531,-0.006055191159248352,0,casual_physical
saad3726d83ffd826,9th Wonder,0,,0.00015720345254521817,0,0.1556551456451416,-0.03459985554218292,0,devotion_commitment
s91bda29400925401,Angel,1,heartbreak_loss,0.995718777179718,1,0.0004994205664843321,0.07317325472831726,1,heartbreak_loss
s3515057df497c771,Born To Fly,0,,0.011353656649589539,0,0.13477590680122375,-0.04477250576019287,0,devotion_commitment
scc5ba23160c782bd,Californication,0,,0.12705570459365845,0,0.014672035351395607,0.0015494376420974731,1,casual_physical
s3d3280c8b4346688,Bet On It,0,,0.020864257588982582,0,0.0772387906908989,0.004417717456817627,1,heartbreak_loss
s2a3878207f0cdb8a,Controlla,1,devotion_commitment,0.9890342354774475,1,0.027143431827425957,0.04582720994949341,1,heartbreak_loss
s25679bae865c5e4d,Chainsaw,1,independence_self_sufficiency,0.9584211111068726,1,0.028463026508688927,0.051618173718452454,1,heartbreak_loss
s0225016e675d2aea,Cornelia Street,1,devotion_commitment,0.9852288365364075,1,0.0005549409543164074,-0.017605900764465332,0,devotion_commitment
s4077ecb8adb85c17,Blow A Bag,0,,0.30689042806625366,0,0.5401735305786133,-0.02185922861099243,0,casual_physical
s7183c02d51f55390,Carolina,0,,0.18469397723674774,0,0.50189208984375,-0.011922791600227356,0,devotion_commitment
s695512cb360b3db6,5 Dollar Pony Rides,1,casual_physical,0.9580694437026978,1,0.017094474285840988,0.03120899200439453,1,independence_self_sufficiency
sc3593d643efb2447,Blow For Blow,0,,0.000716629670932889,0,0.9427707195281982,-0.027797184884548187,0,heartbreak_loss
